Home,Away,Home_Goals,Away_Goals
Shimizu,Albirex Niigata,0,1
Vegalta Sendai,C-Osaka,1,1
Albirex Niigata,Kawasaki Frontale,0,1
Iwata,Nagoya,0,2
Kashima,Vegalta Sendai,3,3
Urawa,Hiroshima,2,0
Yokohama M.,Kashiwa,1,2
C-Osaka,Omiya Ardija,1,3
FC Tokyo,Kobe,0,1
Sapporo,Sagan Tosu,2,3
Shimizu,G-Osaka,1,3
G-Osaka,FC Tokyo,2,2
Hiroshima,C-Osaka,4,1
Nagoya,Kashima,1,2
Sagan Tosu,Urawa,3,1
Vegalta Sendai,Albirex Niigata,0,1
Kashiwa,Kobe,1,0
Kawasaki Frontale,Shimizu,2,1
Omiya Ardija,Iwata,2,0
Sapporo,Yokohama M.,0,2
Albirex Niigata,Sapporo,4,1
C-Osaka,Kawasaki Frontale,2,2
FC Tokyo,Vegalta Sendai,6,2
Iwata,G-Osaka,2,1
Kashima,Kashiwa,2,0
Kobe,Hiroshima,0,1
Shimizu,Omiya Ardija,0,0
Urawa,Nagoya,2,0
Yokohama M.,Sagan Tosu,1,0
C-Osaka,Albirex Niigata,1,0
Hiroshima,Urawa,1,2
Nagoya,Iwata,1,1
Sagan Tosu,Kashima,1,1
Vegalta Sendai,Kofu,1,1
Yokohama M.,Shonan,4,2
Omiya Ardija,Shimizu,2,2
Oita,FC Tokyo,1,2
Kashiwa,Kawasaki Frontale,3,1
Albirex Niigata,Hiroshima,1,2
FC Tokyo,Kashiwa,3,0
Kashima,Vegalta Sendai,3,2
Kofu,C-Osaka,1,2
Shimizu,Yokohama M.,0,5
Iwata,Omiya Ardija,0,1
Kawasaki Frontale,Oita,1,1
Urawa,Nagoya,1,0
Shonan,Sagan Tosu,1,1
Oita,Urawa,2,2
Sagan Tosu,Kawasaki Frontale,5,4
Vegalta Sendai,Kashiwa,2,1
Yokohama M.,Iwata,2,1
C-Osaka,FC Tokyo,1,0
Omiya Ardija,Albirex Niigata,1,1
Shonan,Shimizu,1,1
Kofu,Nagoya,0,1
Hiroshima,Kashima,0,0
C-Osaka,Vegalta Sendai,1,1
Shimizu,Hiroshima,0,4
Iwata,Sagan Tosu,3,3
Kashiwa,Oita,3,1
Kawasaki Frontale,Kofu,1,1
Nagoya,Shonan,2,0
Omiya Ardija,Kashima,3,1
Albirex Niigata,Urawa,0,2
Yokohama M.,FC Tokyo,3,2
FC Tokyo,Omiya Ardija,0,1
Hiroshima,Yokohama M.,1,3
Oita,Kofu,0,1
Sagan Tosu,Shimizu,0,1
Vegalta Sendai,Albirex Niigata,0,1
Kashima,C-Osaka,1,0
Kashiwa,Nagoya,3,3
Shonan,Kawasaki Frontale,1,1
Urawa,Iwata,2,1
Kofu,Kashiwa,3,1
Nagoya,Albirex Niigata,2,0
