Home,Away,Home_Goals,Away_Goals
Hiroshima,Avispa Fukuoka,4,1
Iwata,Urawa,0,1
Kashima,Kawasaki Frontale,0,1
Kashiwa,Omiya Ardija,1,2
Kobe,Nagoya,3,0
Sagan Tosu,Yokohama M.,2,2
Shonan,Kofu,1,0
Albirex Niigata,Hiroshima,0,1
Avispa Fukuoka,Kashiwa,0,4
Kashima,Kobe,0,1
Kawasaki Frontale,G-Osaka,2,3
Kofu,Sagan Tosu,0,1
Nagoya,Shonan,1,3
Omiya Ardija,FC Tokyo,0,1
Urawa,Yokohama M.,1,1
Vegalta Sendai,Iwata,0,1
Kawasaki Frontale,Kashima,0,1
Kashima,Urawa,0,1
Urawa,Kashima,1,2
Yokohama M.,Urawa,3,2
Hiroshima,Albirex Niigata,1,1
Kashima,FC Tokyo,0,1
Sagan Tosu,Kashiwa,1,3
Shimizu,Kobe,0,1
Vegalta Sendai,Sapporo,1,0
C-Osaka,Iwata,0,0
Omiya Ardija,Kawasaki Frontale,0,2
G-Osaka,Kofu,1,1
Hiroshima,Shimizu,0,1
Kofu,Kashima,0,1
Urawa,C-Osaka,3,1
FC Tokyo,Omiya Ardija,2,0
Iwata,Vegalta Sendai,0,1
Kobe,Albirex Niigata,2,1
Yokohama M.,Sapporo,3,0
Kashiwa,G-Osaka,1,3
Kawasaki Frontale,Sagan Tosu,1,1
Kashima,Yokohama M.,1,0
Kawasaki Frontale,Kashiwa,2,1
Urawa,Kofu,4,1
Omiya Ardija,Iwata,1,2
Sagan Tosu,Hiroshima,1,0
Sapporo,C-Osaka,1,1
Albirex Niigata,Shimizu,0,2
Vegalta Sendai,Kobe,0,2
G-Osaka,FC Tokyo,3,0
Kofu,Omiya Ardija,1,0
Sapporo,Hiroshima,2,1
Shimizu,Kashima,2,3
Yokohama M.,Albirex Niigata,1,1
C-Osaka,Sagan Tosu,1,0
Kashiwa,Vegalta Sendai,0,1
Kobe,Iwata,1,0
FC Tokyo,Kawasaki Frontale,3,0
G-Osaka,Urawa,1,1
Albirex Niigata,G-Osaka,2,3
Hiroshima,Kashiwa,0,2
Vegalta Sendai,Kawasaki Frontale,0,2
C-Osaka,Yokohama M.,2,0
Iwata,Shimizu,3,1
FC Tokyo,Sagan Tosu,3,3
Kobe,Urawa,1,3
Omiya Ardija,Kashima,0,1
Kofu,Sapporo,2,0
G-Osaka,Hiroshima,0,1
Urawa,Vegalta Sendai,7,0
Kawasaki Frontale,Kofu,1,1
Kashima,C-Osaka,0,1
Kashiwa,Shimizu,0,2
Omiya Ardija,Kobe,0,2
Sagan Tosu,Albirex Niigata,3,0
Sapporo,FC Tokyo,2,1
Yokohama M.,Iwata,2,1
Kofu,Albirex Niigata,0,2
Shimizu,Omiya Ardija,1,1
Sapporo,Kawasaki Frontale,1,1
C-Osaka,G-Osaka,2,2
FC Tokyo,Urawa,0,1
Iwata,Sagan Tosu,2,1
Kobe,Kashiwa,1,2
Hiroshima,Yokohama M.,0,1
Vegalta Sendai,Kashima,1,4
G-Osaka,Omiya Ardija,6,0
Kawasaki Frontale,Shimizu,2,2
Hiroshima,Vegalta Sendai,3,3
Kofu,C-Osaka,1,1
Urawa,Sapporo,3,2
Kashima,Iwata,0,3
Kashiwa,Yokohama M.,2,0
Albirex Niigata,FC Tokyo,0,3
Sagan Tosu,Kobe,1,0
Shimizu,Vegalta Sendai,0,3
Albirex Niigata,Kashiwa,0,1
FC Tokyo,Hiroshima,1,0
Iwata,Sapporo,2,2
Omiya Ardija,Urawa,1,0
Kashima,Sagan Tosu,2,1
Kobe,Kofu,0,1
Yokohama M.,G-Osaka,0,1
C-Osaka,Kawasaki Frontale,2,0
Urawa,Kashima,0,1
G-Osaka,Shimizu,1,1
Kawasaki Frontale,Albirex Niigata,3,0
Sapporo,Omiya Ardija,1,0
Kashiwa,C-Osaka,1,0
Hiroshima,Kobe,1,1
Kofu,Iwata,0,0
Vegalta Sendai,FC Tokyo,0,2
Sagan Tosu,Yokohama M.,1,0
Shimizu,Sagan Tosu,1,1
Albirex Niigata,Urawa,1,6
Kashima,Kobe,1,2
Yokohama M.,Kofu,1,0
C-Osaka,Hiroshima,5,2
FC Tokyo,Kashiwa,1,2
Iwata,Kawasaki Frontale,0,2
Omiya Ardija,Vegalta Sendai,2,1
Sapporo,G-Osaka,0,2
Kashima,Kawasaki Frontale,0,3
Albirex Niigata,Sapporo,1,0
Iwata,Kashiwa,0,2
Kofu,Hiroshima,1,2
Urawa,Shimizu,3,3
Yokohama M.,Vegalta Sendai,1,1
Omiya Ardija,C-Osaka,0,3
G-Osaka,Sagan Tosu,3,0
Kobe,FC Tokyo,1,1
Hiroshima,Iwata,0,0
Shimizu,Yokohama M.,1,3
Kashiwa,Omiya Ardija,4,2
Sagan Tosu,Sapporo,1,0
Vegalta Sendai,Albirex Niigata,2,1
FC Tokyo,Kofu,1,1
Kobe,C-Osaka,1,2
Sapporo,Kobe,1,2
Shimizu,FC Tokyo,0,2
Hiroshima,Kashima,1,3
C-Osaka,Albirex Niigata,4,0
Iwata,G-Osaka,3,0
Vegalta Sendai,Kofu,3,0
Omiya Ardija,Sagan Tosu,1,1
Yokohama M.,Kawasaki Frontale,2,0
Kashiwa,Urawa,1,0
Kashima,Sapporo,3,0
Albirex Niigata,Omiya Ardija,1,2
C-Osaka,Shimizu,1,1
Kawasaki Frontale,Hiroshima,1,0
Kobe,G-Osaka,0,1
Kofu,Kashiwa,0,0
Sagan Tosu,Vegalta Sendai,1,1
FC Tokyo,Yokohama M.,0,1
Urawa,Iwata,2,4
Iwata,FC Tokyo,2,0
Shimizu,Kofu,1,0
Vegalta Sendai,C-Osaka,2,4
Yokohama M.,Kobe,2,0
Hiroshima,Omiya Ardija,0,3
Kashima,Albirex Niigata,2,0
G-Osaka,Kawasaki Frontale,1,1
Kashiwa,Sapporo,2,1
Sagan Tosu,Urawa,2,1
Sapporo,Shimizu,1,0
Albirex Niigata,Iwata,0,2
Kawasaki Frontale,Kobe,5,0
Omiya Ardija,Yokohama M.,1,2
Urawa,Hiroshima,4,3
Vegalta Sendai,G-Osaka,2,3
Kofu,Sagan Tosu,0,0
Kashiwa,Kashima,2,3
C-Osaka,FC Tokyo,3,1
G-Osaka,Kashima,0,1
Kawasaki Frontale,Urawa,4,1
Shimizu,G-Osaka,2,0
C-Osaka,Kashiwa,2,1
FC Tokyo,Kashima,2,2
Iwata,Kofu,1,0
Kobe,Vegalta Sendai,3,0
Omiya Ardija,Sapporo,2,2
Sagan Tosu,Kawasaki Frontale,2,3
Yokohama M.,Hiroshima,1,1
Urawa,Albirex Niigata,2,1
C-Osaka,Urawa,4,2
Sapporo,Urawa,2,0
Kashima,Kofu,3,0
G-Osaka,C-Osaka,3,1
Kawasaki Frontale,Iwata,2,5
Kobe,Omiya Ardija,3,1
Yokohama M.,Shimizu,2,2
Hiroshima,Sagan Tosu,0,1
Vegalta Sendai,Kashiwa,1,1
FC Tokyo,Albirex Niigata,1,1
Kofu,G-Osaka,1,0
Kashima,Vegalta Sendai,2,0
Albirex Niigata,Yokohama M.,0,2
C-Osaka,Sapporo,3,1
Iwata,Hiroshima,2,3
Kashiwa,Kobe,3,1
Kawasaki Frontale,FC Tokyo,1,1
Sagan Tosu,Shimizu,2,1
Urawa,Omiya Ardija,2,2
Albirex Niigata,Kawasaki Frontale,0,2
Hiroshima,G-Osaka,2,2
Kashiwa,Sagan Tosu,0,0
Kobe,Kashima,1,2
Kofu,Urawa,0,1
Omiya Ardija,FC Tokyo,1,2
Sapporo,Yokohama M.,0,2
Shimizu,C-Osaka,3,2
Vegalta Sendai,Iwata,0,0
Sapporo,Kofu,1,1
Shimizu,Kashiwa,1,4
G-Osaka,Iwata,0,2
FC Tokyo,Kobe,1,0
Kawasaki Frontale,Kashima,3,1
Omiya Ardija,Albirex Niigata,1,0
Vegalta Sendai,Hiroshima,1,0
Yokohama M.,Sagan Tosu,1,0
Iwata,C-Osaka,1,1
Kashima,Shimizu,2,0
Albirex Niigata,Vegalta Sendai,1,2
G-Osaka,Kashiwa,0,1
Hiroshima,Kofu,1,0
Kawasaki Frontale,Sapporo,2,1
Sagan Tosu,Omiya Ardija,3,0
Urawa,FC Tokyo,2,1
Kobe,Yokohama M.,0,0
Sapporo,Vegalta Sendai,1,0
C-Osaka,Kashima,0,1
Iwata,Kobe,2,1
Kashiwa,Albirex Niigata,1,1
Omiya Ardija,Hiroshima,1,1
Sagan Tosu,G-Osaka,1,3
Yokohama M.,FC Tokyo,1,0
Kofu,Kawasaki Frontale,2,2
Shimizu,Urawa,1,2
Sapporo,Iwata,2,1
Kofu,Shimizu,0,1
Kashima,Omiya Ardija,1,0
Albirex Niigata,Hiroshima,0,0
FC Tokyo,C-Osaka,1,4
G-Osaka,Kobe,1,2
Kawasaki Frontale,Yokohama M.,3,0
Urawa,Kashiwa,1,2
Vegalta Sendai,Sagan Tosu,4,1
Albirex Niigata,Kashima,2,4
Omiya Ardija,G-Osaka,2,2
Shimizu,Kawasaki Frontale,0,3
Hiroshima,C-Osaka,1,0
FC Tokyo,Vegalta Sendai,1,0
Kobe,Sapporo,2,0
Sagan Tosu,Kofu,2,1
Yokohama M.,Kashiwa,1,1
Iwata,Urawa,1,1
Sapporo,Albirex Niigata,2,2
Shimizu,Hiroshima,1,3
Iwata,Omiya Ardija,2,1
Kashiwa,FC Tokyo,4,1
Urawa,Sagan Tosu,2,2
Kofu,Yokohama M.,3,2
C-Osaka,Vegalta Sendai,1,4
Kashima,G-Osaka,2,1
Kobe,Kawasaki Frontale,0,0
Sagan Tosu,Kashima,1,0
Albirex Niigata,Kobe,0,2
FC Tokyo,Iwata,0,0
Hiroshima,Sapporo,1,1
Kashiwa,Kofu,0,1
G-Osaka,Yokohama M.,1,2
Kawasaki Frontale,C-Osaka,5,1
Omiya Ardija,Shimizu,0,0
Vegalta Sendai,Urawa,2,3
Sapporo,Kashiwa,3,0
G-Osaka,Albirex Niigata,0,1
Shimizu,Iwata,0,3
Yokohama M.,Omiya Ardija,1,1
Kashima,Hiroshima,2,0
Kawasaki Frontale,Vegalta Sendai,3,2
Urawa,Kobe,1,1
Kofu,FC Tokyo,1,1
Sagan Tosu,C-Osaka,1,2
C-Osaka,Kofu,2,0
Hiroshima,Kawasaki Frontale,0,3
Kobe,Sagan Tosu,1,2
Omiya Ardija,Kashiwa,1,1
Vegalta Sendai,Shimizu,0,0
Iwata,Albirex Niigata,2,2
FC Tokyo,Sapporo,1,2
Yokohama M.,Kashima,3,2
Urawa,G-Osaka,3,3
Albirex Niigata,Sagan Tosu,1,0
Iwata,Yokohama M.,2,1
C-Osaka,Omiya Ardija,2,1
G-Osaka,Vegalta Sendai,1,1
Hiroshima,Urawa,0,1
Kashiwa,Kawasaki Frontale,2,2
Kofu,Kobe,2,3
Sapporo,Kashima,1,2
FC Tokyo,Shimizu,0,0
Kashima,Urawa,1,0
Albirex Niigata,Kofu,1,0
Kashiwa,Iwata,1,0
Kawasaki Frontale,G-Osaka,1,0
Kobe,Hiroshima,1,2
Sagan Tosu,FC Tokyo,2,1
Vegalta Sendai,Omiya Ardija,3,0
Yokohama M.,C-Osaka,1,4
Shimizu,Sapporo,0,2
C-Osaka,Kobe,3,1
G-Osaka,Sapporo,0,1
Hiroshima,FC Tokyo,2,1
Kashima,Kashiwa,0,0
Omiya Ardija,Kofu,0,0
Sagan Tosu,Iwata,0,2
Shimizu,Albirex Niigata,2,3
Vegalta Sendai,Yokohama M.,2,2
Urawa,Kawasaki Frontale,0,1
Albirex Niigata,C-Osaka,1,0
FC Tokyo,G-Osaka,0,0
Iwata,Kashima,0,0
Kashiwa,Hiroshima,1,0
Kawasaki Frontale,Omiya Ardija,5,0
Kobe,Shimizu,1,3
Kofu,Vegalta Sendai,1,0
Sapporo,Sagan Tosu,3,2
Urawa,Yokohama M.,0,1
Sagan Tosu,Kobe,1,1
FC Tokyo,Urawa,1,1
Hiroshima,Sapporo,1,0
G-Osaka,Nagoya,2,3
Shonan,V-Varen Nagasaki,2,1
Shimizu,Kashima,0,0
Vegalta Sendai,Kashiwa,1,0
Iwata,Kawasaki Frontale,0,3
C-Osaka,Yokohama M.,1,1
C-Osaka,Sapporo,3,3
Kawasaki Frontale,Shonan,1,1
Kashiwa,Yokohama M.,2,0
Nagoya,Iwata,1,0
FC Tokyo,Vegalta Sendai,0,1
Kashima,G-Osaka,1,0
Kobe,Shimizu,2,4
V-Varen Nagasaki,Sagan Tosu,2,2
Urawa,Hiroshima,1,2
Kawasaki Frontale,G-Osaka,2,0
Yokohama M.,Sagan Tosu,1,2
Vegalta Sendai,Kobe,1,1
V-Varen Nagasaki,Urawa,1,1
Iwata,FC Tokyo,2,0
Kashima,Hiroshima,0,1
Kashiwa,C-Osaka,1,1
Sapporo,Shimizu,1,3
Shonan,Nagoya,0,0
Sapporo,V-Varen Nagasaki,2,1
Shimizu,Vegalta Sendai,1,1
FC Tokyo,Shonan,1,0
G-Osaka,Kashiwa,2,2
Hiroshima,Iwata,0,0
Kobe,C-Osaka,2,0
Sagan Tosu,Kashima,0,1
Urawa,Yokohama M.,0,1
Nagoya,Kawasaki Frontale,0,1
Kashiwa,Kobe,2,1
Shimizu,Yokohama M.,0,1
Vegalta Sendai,V-Varen Nagasaki,1,0
FC Tokyo,G-Osaka,3,2
Kashima,Sapporo,0,0
Kawasaki Frontale,Hiroshima,0,1
C-Osaka,Shonan,2,1
Sagan Tosu,Nagoya,3,2
Iwata,Urawa,2,1
Sapporo,Nagoya,3,0
C-Osaka,Sagan Tosu,2,1
Iwata,Shimizu,0,0
Urawa,Vegalta Sendai,1,0
Shonan,Kashima,2,1
V-Varen Nagasaki,FC Tokyo,2,5
G-Osaka,Kobe,0,1
Kashiwa,Hiroshima,0,1
Yokohama M.,Kawasaki Frontale,1,1
FC Tokyo,Kashima,2,1
G-Osaka,Iwata,2,0
Hiroshima,Yokohama M.,3,1
Kawasaki Frontale,C-Osaka,1,2
Kobe,Urawa,2,3
Nagoya,Vegalta Sendai,2,3
Sapporo,Shonan,1,0
Shimizu,V-Varen Nagasaki,0,1
Sagan Tosu,Kashiwa,1,2
Kashima,Nagoya,2,0
Kashiwa,Sapporo,1,2
V-Varen Nagasaki,G-Osaka,3,0
C-Osaka,FC Tokyo,1,0
Vegalta Sendai,Kawasaki Frontale,0,0
Yokohama M.,Kobe,1,2
Iwata,Sagan Tosu,1,0
Shonan,Hiroshima,0,2
Urawa,Shimizu,2,1
Shimizu,FC Tokyo,0,1
Hiroshima,Sagan Tosu,1,0
Vegalta Sendai,Iwata,0,3
Kawasaki Frontale,Kashima,4,1
Kobe,Nagoya,3,0
Urawa,Sapporo,0,0
Yokohama M.,Shonan,4,4
G-Osaka,C-Osaka,1,0
V-Varen Nagasaki,Kashiwa,1,0
C-Osaka,Vegalta Sendai,2,1
FC Tokyo,Hiroshima,3,1
Iwata,V-Varen Nagasaki,1,2
Kashima,Kobe,1,1
Kashiwa,Urawa,1,0
Nagoya,Shimizu,1,3
Sagan Tosu,Kawasaki Frontale,0,2
Sapporo,Yokohama M.,2,1
Shonan,G-Osaka,1,0
V-Varen Nagasaki,Hiroshima,0,2
Shimizu,Kashiwa,2,1
Vegalta Sendai,Sapporo,2,2
FC Tokyo,Nagoya,3,2
Iwata,C-Osaka,1,1
Kobe,Kawasaki Frontale,1,2
Urawa,Shonan,0,1
Yokohama M.,Kashima,3,0
G-Osaka,Sagan Tosu,3,0
G-Osaka,Vegalta Sendai,1,0
Kashima,V-Varen Nagasaki,2,1
Kawasaki Frontale,Urawa,0,2
Kobe,FC Tokyo,0,0
Nagoya,C-Osaka,0,0
Shonan,Kashiwa,1,2
Yokohama M.,Iwata,1,3
Hiroshima,Shimizu,2,0
Sagan Tosu,Sapporo,1,2
Kashiwa,Iwata,1,2
Kawasaki Frontale,FC Tokyo,0,2
Sapporo,G-Osaka,2,0
C-Osaka,V-Varen Nagasaki,3,1
Kashima,Urawa,1,0
Nagoya,Yokohama M.,1,1
Sagan Tosu,Shimizu,3,1
Shonan,Vegalta Sendai,1,3
Hiroshima,Kobe,2,0
Iwata,Kobe,0,2
Shimizu,Shonan,4,2
V-Varen Nagasaki,Nagoya,3,0
Kashiwa,Kawasaki Frontale,1,2
Vegalta Sendai,Hiroshima,1,3
Yokohama M.,G-Osaka,1,1
Urawa,Sagan Tosu,0,0
FC Tokyo,Sapporo,0,0
G-Osaka,Urawa,0,0
Yokohama M.,V-Varen Nagasaki,5,2
Shonan,Iwata,1,0
Kashima,Vegalta Sendai,1,2
Nagoya,Kashiwa,2,3
Kawasaki Frontale,Shimizu,3,0
Sagan Tosu,FC Tokyo,0,0
Hiroshima,C-Osaka,0,2
Kobe,Sapporo,4,0
Hiroshima,G-Osaka,4,0
Iwata,Kashima,3,3
Kashiwa,FC Tokyo,0,1
Sapporo,Kawasaki Frontale,1,2
Shimizu,C-Osaka,3,0
Shonan,Sagan Tosu,1,1
Vegalta Sendai,Yokohama M.,2,8
V-Varen Nagasaki,Kobe,0,1
Urawa,Nagoya,3,1
Kobe,Shonan,0,3
Nagoya,Hiroshima,0,0
Kashima,Kashiwa,6,2
C-Osaka,Urawa,1,1
FC Tokyo,Yokohama M.,5,2
G-Osaka,Shimizu,1,2
Kawasaki Frontale,V-Varen Nagasaki,1,0
Sagan Tosu,Vegalta Sendai,0,1
Sapporo,Iwata,0,0
C-Osaka,Kashima,0,2
FC Tokyo,V-Varen Nagasaki,0,1
G-Osaka,Kashima,1,1
Hiroshima,Urawa,1,4
Kobe,Kashiwa,1,0
Sagan Tosu,Iwata,0,0
Vegalta Sendai,C-Osaka,2,2
C-Osaka,Kobe,1,1
Iwata,G-Osaka,1,1
Kashima,FC Tokyo,1,2
Shimizu,Sagan Tosu,1,0
Urawa,Kawasaki Frontale,2,0
Vegalta Sendai,Nagoya,1,2
V-Varen Nagasaki,Sapporo,2,3
Kashiwa,Shonan,0,2
Yokohama M.,Hiroshima,1,4
Sapporo,Kashiwa,1,2
Nagoya,G-Osaka,3,2
Kashima,Shimizu,1,0
FC Tokyo,Kobe,1,0
Hiroshima,Shonan,2,2
Iwata,Vegalta Sendai,3,2
Kawasaki Frontale,Yokohama M.,2,0
Sagan Tosu,C-Osaka,1,0
Urawa,V-Varen Nagasaki,0,0
G-Osaka,FC Tokyo,2,1
Sapporo,C-Osaka,1,1
Nagoya,Kashima,4,2
Shimizu,Kawasaki Frontale,1,2
Hiroshima,V-Varen Nagasaki,2,0
Kashiwa,Vegalta Sendai,0,2
Kobe,Iwata,2,1
Sagan Tosu,Urawa,1,0
Shonan,Yokohama M.,0,1
C-Osaka,Shimizu,3,1
FC Tokyo,Kashiwa,0,1
G-Osaka,Sapporo,1,1
Kawasaki Frontale,Sagan Tosu,0,0
Kobe,Hiroshima,1,1
Urawa,Iwata,4,0
Vegalta Sendai,Shonan,4,1
V-Varen Nagasaki,Kashima,1,2
Yokohama M.,Nagoya,1,2
Sapporo,FC Tokyo,3,2
Nagoya,Sagan Tosu,3,0
Shimizu,Urawa,3,3
V-Varen Nagasaki,C-Osaka,0,2
Kashima,Yokohama M.,1,0
Hiroshima,Kawasaki Frontale,1,2
Iwata,Kashiwa,2,0
Shonan,Kobe,0,2
Vegalta Sendai,G-Osaka,2,1
Kashima,Iwata,1,1
C-Osaka,Hiroshima,0,1
Kashiwa,V-Varen Nagasaki,5,1
Kawasaki Frontale,Vegalta Sendai,1,0
Shimizu,Sapporo,1,2
Kobe,Yokohama M.,0,2
Nagoya,Urawa,4,1
Sagan Tosu,G-Osaka,3,0
Shonan,FC Tokyo,0,0
Yokohama M.,Shimizu,1,2
V-Varen Nagasaki,Shonan,1,3
Sapporo,Kobe,3,1
Yokohama M.,Kashiwa,3,1
G-Osaka,Kawasaki Frontale,2,0
Hiroshima,Kashima,3,1
Iwata,Nagoya,1,6
Urawa,C-Osaka,1,2
Vegalta Sendai,Shimizu,2,1
FC Tokyo,Sagan Tosu,0,0
C-Osaka,Iwata,1,1
Kashima,Shonan,2,1
Vegalta Sendai,FC Tokyo,1,0
Sagan Tosu,Hiroshima,1,0
Nagoya,V-Varen Nagasaki,3,4
Kashiwa,Shimizu,2,3
Kawasaki Frontale,Sapporo,7,0
Kobe,G-Osaka,1,2
Yokohama M.,Urawa,1,2
Shimizu,G-Osaka,1,2
Kashiwa,Sagan Tosu,1,1
Iwata,Yokohama M.,1,2
V-Varen Nagasaki,Vegalta Sendai,1,0
Hiroshima,FC Tokyo,1,1
Kawasaki Frontale,Nagoya,3,1
Shonan,C-Osaka,1,1
Urawa,Kobe,4,0
Sapporo,Kashima,0,2
Shonan,Kawasaki Frontale,0,0
Sapporo,Sagan Tosu,2,1
Yokohama M.,Vegalta Sendai,5,2
G-Osaka,Hiroshima,1,0
Kobe,Kashima,0,5
FC Tokyo,Shimizu,0,2
V-Varen Nagasaki,Kawasaki Frontale,1,2
Urawa,Kashiwa,3,2
Yokohama M.,Sapporo,2,1
C-Osaka,G-Osaka,0,1
Hiroshima,Kashiwa,0,3
Kobe,V-Varen Nagasaki,1,1
Sagan Tosu,Shonan,0,1
Kashima,Kawasaki Frontale,0,0
Vegalta Sendai,Urawa,1,1
Shimizu,Iwata,5,1
Nagoya,FC Tokyo,1,2
Kashiwa,Nagoya,0,1
Shimizu,Hiroshima,2,0
Vegalta Sendai,Sagan Tosu,2,3
G-Osaka,Yokohama M.,2,1
Shonan,Sapporo,2,2
Urawa,Kashima,3,1
FC Tokyo,C-Osaka,0,1
Kawasaki Frontale,Kobe,5,3
V-Varen Nagasaki,Iwata,0,0
Nagoya,Sapporo,1,2
Iwata,Shonan,1,0
Kashima,C-Osaka,1,0
Shonan,Shimizu,0,0
Iwata,Hiroshima,3,2
Kawasaki Frontale,Kashiwa,3,0
Nagoya,Kobe,1,2
Yokohama M.,FC Tokyo,0,1
Urawa,G-Osaka,1,3
Sapporo,Vegalta Sendai,1,0
Sagan Tosu,V-Varen Nagasaki,1,0
C-Osaka,Nagoya,0,1
Kashiwa,Kashima,2,3
C-Osaka,Kawasaki Frontale,2,1
FC Tokyo,Iwata,0,0
Hiroshima,Vegalta Sendai,0,1
Kobe,Sagan Tosu,0,0
Sapporo,Urawa,1,2
Shimizu,Nagoya,2,0
V-Varen Nagasaki,Yokohama M.,0,1
G-Osaka,Shonan,1,0
C-Osaka,Kashiwa,0,3
FC Tokyo,Kawasaki Frontale,0,2
G-Osaka,V-Varen Nagasaki,2,1
Hiroshima,Nagoya,1,2
Iwata,Sapporo,0,2
Sagan Tosu,Yokohama M.,2,1
Shimizu,Kobe,3,3
Shonan,Urawa,2,1
Vegalta Sendai,Kashima,0,3
Omiya Ardija,Verdy,0,1
